Name,Price,Rating,Specifications,URL
"Xiaomi 14 CIVI (Panda White, 512 GB)","₹44,999",4.3595 Ratings & 52 Reviews,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/xiaomi-14-civi-panda-white-512-gb/p/itm2923c672161ab?pid=MOBH3YHARFSTRHHT&lid=LSTMOBH3YHARFSTRHHTSUBEK8&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBH3YHARFSTRHHT.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Note 8 (Neptune Blue, 64 GB)","₹10,999","4.442,252 Ratings & 2,853 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.0 cm (6.3 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera4000 mAh Lithium Polymer BatteryQualcomm Snapdragon 665 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Batteries from the Date of Purchase,https://www.flipkart.com/note-8-neptune-blue-64-gb/p/itm873f03260c0a7?pid=MOBFHFFSG69TGSXQ&lid=LSTMOBFHFFSG69TGSXQEDQRQD&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFHFFSG69TGSXQ.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Redmi Note 6 Pro (Blue, 64 GB)","₹10,053","4.51,28,270 Ratings & 11,944 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.9 cm (6.26 inch) Full HD+ Display12MP + 5MP | 20MP + 2MP Dual Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 636 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/redmi-note-6-pro-blue-64-gb/p/itm3528a196912ee?pid=MOBFAJB4RSWTEYJJ&lid=LSTMOBFAJB4RSWTEYJJSMYIEZ&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFAJB4RSWTEYJJ.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹43,999",4.3595 Ratings & 52 Reviews,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/xiaomi-14-civi-shadow-black-512-gb/p/itmdf7287cef4f11?pid=MOBHFGU75KAEJQGN&lid=LSTMOBHFGU75KAEJQGNZW1SUF&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBHFGU75KAEJQGN.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Xiaomi 14 CIVI (Shadow Black, 256 GB)","₹39,999","4.31,300 Ratings & 162 Reviews",8 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/xiaomi-14-civi-shadow-black-256-gb/p/itmdf7287cef4f11?pid=MOBHFGU7EJXG5M4M&lid=LSTMOBHFGU7EJXG5M4MD7JVA7&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBHFGU7EJXG5M4M.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"6 (Blue, 32 GB)","₹8,999","4.41,62,242 Ratings & 11,512 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/6-blue-32-gb/p/itmf9f64fpjkbdxp?pid=MOBF96CPQBJJHBGN&lid=LSTMOBF96CPQBJJHBGNKGNPQZ&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBF96CPQBJJHBGN.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Note 4 (Gold, 64 GB)","₹9,499","4.47,89,415 Ratings & 1,23,917 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera | 5MP Front Camera4100 mAh Li-Polymer BatteryQualcomm Snapdragon 625 64-bit Octa Core 2GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/note-4-gold-64-gb/p/itmeqgs9gwrfwpf2?pid=MOBEQ98MNXHY4RU9&lid=LSTMOBEQ98MNXHY4RU9RR7XCV&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBEQ98MNXHY4RU9.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Xiaomi 14 CIVI (Matcha Green, 256 GB)","₹39,999","4.31,300 Ratings & 162 Reviews",8 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://www.flipkart.com/xiaomi-14-civi-matcha-green-256-gb/p/itm79eae844cf78a?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSSOOXJU&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBHFGU7DP9WMCHS.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"i K20 (Pearl White, 128 GB)","₹17,989","4.49,678 Ratings & 864 Reviews",6 GB RAM | 128 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 730 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,https://www.flipkart.com/k20-pearl-white-128-gb/p/itm83312f3173890?pid=MOBFK86VNWAYJ7MQ&lid=LSTMOBFK86VNWAYJ7MQRNYQ4M&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFK86VNWAYJ7MQ.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
"Mi 10T (Cosmic Black, 128 GB)","₹37,999","4.13,860 Ratings & 476 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZNCMVPHMZ&lid=LSTMOBFWAFZNCMVPHMZGY9EBF&marketplace=FLIPKART&q=xiaomi&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=a63d34be-61bb-44ef-84c1-bd72cf7cfac8.MOBFWAFZNCMVPHMZ.SEARCH&ppt=None&ppn=None&ssid=66tnwrdf6o0000001744007636274&qH=ff5e66b76340c563
